1    a0peysza                                 A T O M I C   M A S S   A D J U S T M E N T
0                                                     DATE 18 Nov 2003 TIME 14:12
0        *********************                               A=   0 TO 293
         * file : mass.mas03 *
         *********************

   This is one file out of a series of 3 files published in:
       "The Ame2003 atomic mass evaluation (II)"  by G.Audi, A.H.Wapstra and C.Thibault
           Nuclear Physics A729 p. 337-676, December 22, 2003.
                       for files : mass.mas03  atomic masses
                                   rct1.mas03  react and sep energies,  part 1
                                   rct2.mas03  react and sep energies,  part 2

   A fourth file  is the "Rounded" version of the atomic mass table (the first file)
                                   mass.mas03round  atomic masses "Rounded" version

   All files are 3179 lines long with 124 character per line.
       Headers are 39 lines long.

   Values in the files 1, 2 and 3 are exact (unrounded) copy of the published ones
   Values in the files 4          are exact             copy of the published ones

   col 1     :  Fortran character control: 1 = page feed  0 = line feed
   format    :  a1,i3,i5,i5,i5,1x,a3,a4,1x,f13.5,f11.5,f11.3,f9.3,1x,a2,f11.3,f9.3,1x,i3,1x,f12.5,f11.3,1x
                cc NZ  N  Z  A    el  o     mass  unc binding unc     B  beta  unc    atomic_mass   unc
   Warnings  :  this format is not identical to the one used in Ame1993 and Ame1995
                      in particular "Mass Excess" and "Atomic Mass" values are given now, when necessary,
                      with 5 digits after decimal point.
                      also, the "Binding Energy" column is replaced by a "Binding Energy per A" one.
                decimal point is replaced by # for (non-experimental) estimated values.
                * in place of value : not calculable

....+....1....+....2....+....3....+....4....+....5....+....6....+....7....+....8....+....9....+...10....+...11....+...12....

                                                               MASS LIST
                                                             for analysis

Data from NNDC sorted according N,Z, ElementName, MassExcess (keV), Binding Energy / A (keV)-Exp, Spin,Bind_Coul/A,Bind/A (RMF)
The table below is a combination of the NNDC files "mass.mass03" and "nubtab03.asc.mod.dat"

Two new columns added: binding energy from RMF Model with and without Coulomb field.
		       For nuclei heavier with A>39 an average of 10.5 MeV (14 MeV) is used in RMF-model.

  N    Z  Element  MassExcess(keV) BindEn/A(keV)    Spin       BindEn/A(keV)  BindEn/A (keV) - last two columns: RMF results
   8    5 13B      16562.16602    6496.40186       1.5000   11012.00000   11482.00000
   7    6 13C       3125.01123    7469.84912       0.5000   10776.00000   11420.00000
   6    7 13N       5345.48096    7238.86279       0.5000   10374.00000   11218.00000
   5    8 13O      23112.42773    5811.99414       1.5000   10068.00000   11119.00000
  10    4 14Be     39954.49609    4993.89697       0.0000   10690.00000   10979.00000
   9    5 14B      23663.68359    6101.64502       2.0000   10975.00000   11414.00000
   8    6 14C       3019.89307    7520.31885       0.0000   10861.00000   11468.00000
   7    7 14N       2863.41699    7475.61377       1.0000   10781.00000   11569.00000
   6    8 14O       8007.35596    7052.30811       0.0000   10645.00000   11635.00000
   5    9 14F      32658.00000    5236.00000       2.0000    9519.00000   10716.00000
  10    5 15B      28972.27734    5879.04980       1.5000   10975.00000   11380.00000
   9    6 15C       9873.14355    7100.16895       0.5000   11294.00000   11857.00000
   8    7 15N        101.43805    7699.45898       0.5000   11094.00000   11834.00000
   7    8 15O       2855.60498    7463.69189       0.5000   10785.00000   11721.00000
   6    9 15F      16775.37109    6483.55078       0.5000   10381.00000   11516.00000
  12    4 16Be     57678.00000    4271.00000       0.0000   10632.00000   10882.00000
  11    5 16B      37081.68750    5509.22803       0.0000   11067.00000   11449.00000
  10    6 16C      13694.12891    6922.05420       0.0000   11084.00000   11610.00000
   9    7 16N       5683.65820    7373.81201       2.0000   11132.00000   11830.00000
   8    8 16O      -4737.00146    7976.20605       0.0000   11029.00000   11908.00000
   7    9 16F      10680.25391    6963.73096       0.0000   10571.00000   11644.00000
   6   10 16Ne     23996.46289    6082.57178       0.0000   10033.00000   11314.00000
  12    5 17B      43770.81641    5266.46094       1.5000   11008.00000   11363.00000
  11    6 17C      21038.83203    6557.61621       1.5000   11315.00000   11812.00000
  10    7 17N       7871.36816    7286.15283       0.5000   11359.00000   12013.00000
   9    8 17O       -808.81299    7750.73096       2.5000   11113.00000   11943.00000
   8    9 17F       1951.70105    7542.32812       2.5000   10879.00000   11897.00000
   7   10 17Ne     16460.90039    6642.82520       0.5000   10480.00000   11690.00000
  13    5 18B      52322.00000    4947.00000       4.0000   10945.00000   11281.00000
  12    6 18C      24926.17773    6425.74707       0.0000   11438.00000   11910.00000
  11    7 18N      13114.46582    7038.49023       1.0000   11162.00000   11782.00000
  10    8 18O       -781.52197    7767.02490       0.0000   11239.00000   12023.00000
   9    9 18F        873.70099    7631.60498       1.0000   10984.00000   11946.00000
   8   10 18Ne      5317.16602    7341.28223       0.0000   10895.00000   12046.00000
   7   11 18Na     24189.96875    6249.32910       1.0000   10103.00000   11450.00000
  14    5 19B      59364.00000    4741.00000       1.5000   10945.00000   11261.00000
  13    6 19C      32420.66602    6117.90918       0.5000   11169.00000   11613.00000
  12    7 19N      15862.12891    6948.23486       0.5000   11112.00000   11695.00000
  11    8 19O       3334.87012    7566.38916       2.5000   11397.00000   12134.00000
  10    9 19F      -1487.38599    7779.01514       0.5000   11213.00000   12122.00000
   9   10 19Ne      1751.43994    7567.37500       0.5000   11003.00000   12097.00000
   8   11 19Na     12926.80762    6938.02100       2.5000   10514.00000   11792.00000
   7   12 19Mg     33040.09375    5838.25098       0.5000   10180.00000   11673.00000
  14    6 20C      37557.60938    5958.73291       0.0000   11236.00000   11656.00000
  12    8 20O       3797.46191    7568.50488       0.0000   11254.00000   11962.00000
  11    9 20F        -17.40400    7720.13086       2.0000   11499.00000   12366.00000
  10   10 20Ne     -7041.93115    8032.24023       0.0000   11198.00000   12245.00000
   9   11 20Na      6847.71924    7298.64111       2.0000   10774.00000   12000.00000
   8   12 20Mg     17570.34766    6723.39209       0.0000   10414.00000   11839.00000
  15    6 21C      45960.00000    5659.00000       0.5000   11398.00000   11796.00000
  14    7 21N      25251.16406    6608.09912       0.5000   11543.00000   12077.00000
  13    8 21O       8062.90576    7389.33203       0.5000   11451.00000   12124.00000
  12    9 21F        -47.55100    7738.29004       2.5000   11257.00000   12081.00000
  11   10 21Ne     -5731.77588    7971.71289       1.5000   11279.00000   12276.00000
  10   11 21Na     -2184.16089    7765.52393       1.5000   11066.00000   12241.00000
   9   12 21Mg     10910.50586    7104.71387       2.5000   10680.00000   12038.00000
   8   13 21Al     26119.00000    6343.00000       0.5000   10274.00000   11828.00000
  16    6 22C      53281.00000    5436.00000       0.0000   11193.00000   11572.00000
  14    8 22O       9284.15234    7364.82080       0.0000   11564.00000   12201.00000
  13    9 22F       2793.37793    7624.29395       4.0000   11397.00000   12184.00000
  12   10 22Ne     -8024.71484    8080.46484       0.0000   11365.00000   12318.00000
  11   11 22Na     -5182.43604    7915.70898       3.0000   11208.00000   12332.00000
  10   12 22Mg      -396.96301    7662.62598       0.0000   10920.00000   12219.00000
   9   13 22Al     18183.00000    6783.00000       3.0000   10537.00000   12026.00000
   8   14 22Si     32164.00000    6111.00000       0.0000   10153.00000   11854.00000
  16    7 23N      38396.00000    6164.00000       0.5000   11296.00000   11776.00000
  15    8 23O      14612.95996    7163.85010       0.5000   11604.00000   12219.00000
  14    9 23F       3329.74707    7620.41016       1.5000   11552.00000   12305.00000
  13   10 23Ne     -5154.04492    7955.25488       2.5000   11496.00000   12410.00000
  12   11 23Na     -9529.85352    8111.49316       1.5000   11535.00000   12609.00000
  11   12 23Mg     -5473.76611    7901.12598       1.5000   11004.00000   12254.00000
  10   13 23Al      6769.56982    7334.79199       2.5000   10868.00000   12294.00000
   9   14 23Si     23772.00000    6562.00000       1.5000   10315.00000   11938.00000
  16    8 24O      19070.40039    7015.93506       0.0000   11597.00000   12183.00000
  15    9 24F       7559.52686    7462.95703       1.0000   11513.00000   12234.00000
  14   10 24Ne     -5951.52100    7993.31885       0.0000   11381.00000   12258.00000
  13   11 24Na     -8418.11426    8063.49609       4.0000   11406.00000   12441.00000
  12   12 24Mg    -13933.56738    8260.70898       0.0000   11226.00000   12426.00000
  11   13 24Al       -56.94600    7649.91895       4.0000   11067.00000   12442.00000
  10   14 24Si     10754.67285    7166.83691       0.0000   10608.00000   12166.00000
   9   15 24P      31997.00000    6249.00000       1.0000   10149.00000   11907.00000
  18    7 25N      56504.00000    5592.00000       0.5000   11553.00000   11992.00000
  17    8 25O      27442.00000    6723.00000       1.5000   11541.00000   12101.00000
  16    9 25F      11272.70605    7338.76416       2.5000   11710.00000   12399.00000
  15   10 25Ne     -2108.07495    7842.70117       1.5000   11479.00000   12315.00000
  14   11 25Na     -9357.81836    8101.39697       2.5000   11254.00000   12250.00000
  13   12 25Mg    -13192.82617    8223.50391       2.5000   11170.00000   12325.00000
  12   13 25Al     -8916.17188    8021.14404       2.5000   11290.00000   12619.00000
  11   14 25Si      3824.31812    7480.22998       2.5000   10763.00000   12263.00000
  10   15 25P      18872.00000    6847.00000       0.5000   10331.00000   12020.00000
  18    8 26O      35713.00000    6457.00000       0.0000   11465.00000   12003.00000
  17    9 26F      18271.77148    7097.74414       1.0000   11561.00000   12222.00000
  16   10 26Ne       429.61099    7753.89111       0.0000   11636.00000   12438.00000
  15   11 26Na     -6862.31592    8004.25977       3.0000   11514.00000   12465.00000
  14   12 26Mg    -16214.58203    8333.87207       0.0000   11393.00000   12502.00000
  13   13 26Al    -12210.30859    8149.77100       5.0000   11107.00000   12381.00000
  12   14 26Si     -7144.63184    7924.84717       0.0000   10779.00000   12226.00000
  11   15 26P      10973.00000    7198.00000       3.0000   10547.00000   12177.00000
  10   16 26S      25970.00000    6591.00000       0.0000   10220.00000   12039.00000
  19    8 27O      44954.00000    6175.00000       1.5000   11557.00000   12074.00000
  18    9 27F      24926.85938    6887.31787       2.5000   11659.00000   12295.00000
  17   10 27Ne      7069.94922    7519.70898       1.5000   11661.00000   12429.00000
  16   11 27Na     -5517.43604    7956.93311       2.5000   11484.00000   12398.00000
  15   12 27Mg    -14586.65137    8263.85352       0.5000   11438.00000   12503.00000
  14   13 27Al    -17196.65820    8331.54492       2.5000   11278.00000   12511.00000
  13   14 27Si    -12384.30078    8124.33398       2.5000   11103.00000   12500.00000
  12   15 27P       -717.03003    7663.23682       0.5000   10741.00000   12315.00000
  11   16 27S      17543.00000    6958.00000       2.5000   10488.00000   12251.00000
  20    8 28O      53850.00000    5925.00000       0.0000   11829.00000   12326.00000
  18   10 28Ne     11244.60059    7390.31494       0.0000   11683.00000   12424.00000
  17   11 28Na      -989.24701    7799.29688       1.0000   11567.00000   12447.00000
  16   12 28Mg    -15018.64062    8272.40625       0.0000   11521.00000   12549.00000
  15   13 28Al    -16850.44141    8309.88574       3.0000   11208.00000   12395.00000
  14   14 28Si    -21492.79688    8447.74414       0.0000   11073.00000   12425.00000
  13   15 28P      -7158.75293    7907.87305       3.0000   11033.00000   12560.00000
  12   16 28S       4073.20288    7478.79004       0.0000   10813.00000   12518.00000
  11   17 28Cl     26557.00000    6648.00000       1.0000   10357.00000   12251.00000
  20    9 29F      40296.00000    6439.00000       2.5000   11721.00000   12310.00000
  19   10 29Ne     18057.88086    7178.85693       1.5000   11704.00000   12416.00000
  18   11 29Na      2665.00391    7682.66797       1.5000   11744.00000   12591.00000
  17   12 29Mg    -10619.03223    8113.76123       1.5000   11590.00000   12588.00000
  16   13 29Al    -18215.32227    8348.72461       2.5000   11468.00000   12610.00000
  15   14 29Si    -21895.04688    8448.63379       0.5000   11225.00000   12525.00000
  14   15 29P     -16952.62695    8251.22754       0.5000   11019.00000   12492.00000
  13   16 29S      -3159.58203    7748.62891       2.5000   10891.00000   12540.00000
  12   17 29Cl     13143.00000    7159.00000       1.5000   10653.00000   12477.00000
  20   10 30Ne     23102.02539    7040.46680       0.0000   11703.00000   12391.00000
  19   11 30Na      8361.08984    7505.75391       2.0000   11647.00000   12467.00000
  18   12 30Mg     -8910.67188    8055.40088       0.0000   11675.00000   12632.00000
  17   13 30Al    -15872.41895    8261.38086       3.0000   11620.00000   12724.00000
  16   14 30Si    -24432.92773    8520.65332       0.0000   11392.00000   12648.00000
  15   15 30P     -20200.57422    8353.49609       1.0000   11104.00000   12529.00000
  14   16 30S     -14062.53223    8122.81689       0.0000   11044.00000   12639.00000
  13   17 30Cl      4443.00000    7480.00000       3.0000   10768.00000   12539.00000
  12   18 30Ar     20083.00000    6932.00000       0.0000   10380.00000   12332.00000
  22    9 31F      56289.00000    6028.00000       2.5000   11598.00000   12148.00000
  21   10 31Ne     30842.00000    6824.00000       3.5000   11698.00000   12363.00000
  20   11 31Na     12654.76758    7385.49219       1.5000   11733.00000   12520.00000
  19   12 31Mg     -3217.37988    7872.25977       1.5000   11922.00000   12847.00000
  18   13 31Al    -14953.62793    8225.61133       2.5000   11713.00000   12781.00000
  17   14 31Si    -22949.00586    8458.29004       1.5000   11525.00000   12739.00000
  16   15 31P     -24440.88477    8481.17773       0.5000   11444.00000   12819.00000
  15   16 31S     -19044.64844    8281.86914       0.5000   11438.00000   12986.00000
  14   17 31Cl     -7067.16504    7870.26123       1.5000   11022.00000   12739.00000
  13   18 31Ar     11293.00000    7253.00000       2.5000   10521.00000   12405.00000
  22   10 32Ne     37278.00000    6662.00000       0.0000   11616.00000   12259.00000
  21   11 32Na     19064.47852    7206.62109       3.0000   11720.00000   12485.00000
  20   12 32Mg      -954.78101    7807.77393       0.0000   11723.00000   12614.00000
  19   13 32Al    -11061.96582    8099.17480       1.0000   11784.00000   12818.00000
  18   14 32Si    -24080.90625    8481.56934       0.0000   11586.00000   12765.00000
  17   15 32P     -24305.21875    8464.12988       1.0000   11557.00000   12886.00000
  16   16 32S     -26015.69727    8493.13379       0.0000   11285.00000   12781.00000
  15   17 32Cl    -13329.77148    8072.25098       1.0000   11128.00000   12792.00000
  14   18 32Ar     -2200.20410    7700.00293       0.0000   10779.00000   12610.00000
  13   19 32K      20418.00000    6969.00000       1.0000   10602.00000   12606.00000
  23   10 33Ne     45997.00000    6440.00000       3.5000   11825.00000   12446.00000
  22   11 33Na     24889.29297    7056.31396       1.5000   11817.00000   12555.00000
  21   12 33Mg      4894.06982    7638.52197       3.5000   11751.00000   12614.00000
  20   13 33Al     -8529.37695    8021.58594       2.5000   11853.00000   12858.00000
  19   14 33Si    -20492.66211    8360.40234       1.5000   11711.00000   12851.00000
  18   15 33P     -26337.48633    8513.81055       0.5000   11616.00000   12906.00000
  17   16 33S     -26585.99414    8497.63379       1.5000   11365.00000   12815.00000
  16   17 33Cl    -21003.43164    8304.75781       1.5000   11225.00000   12838.00000
  15   18 33Ar     -9384.14062    7928.95020       0.5000   10939.00000   12717.00000
  14   19 33K       6763.00000    7416.00000       1.5000   10603.00000   12553.00000
  24   10 34Ne     53121.00000    6279.00000       0.0000   11867.00000   12466.00000
  23   11 34Na     32761.00000    6855.00000       1.0000   11749.00000   12462.00000
  22   12 34Mg      8808.60254    7536.11816       0.0000   11693.00000   12528.00000
  21   13 34Al     -2932.49512    7858.43408       4.0000   11786.00000   12749.00000
  20   14 34Si    -19956.76953    8336.13770       0.0000   11618.00000   12725.00000
  19   15 34P     -24557.66992    8448.44922       1.0000   11693.00000   12942.00000
  18   16 34S     -29931.78711    8583.50098       0.0000   11509.00000   12914.00000
  17   17 34Cl    -24439.77539    8398.96094       0.0000   11281.00000   12842.00000
  16   18 34Ar    -18377.21680    8197.63965       0.0000   11070.00000   12794.00000
  15   19 34K      -1481.00000    7678.00000       1.0000   10996.00000   12896.00000
  14   20 34Ca     13153.00000    7224.00000       0.0000   10595.00000   12671.00000
  24   11 35Na     39582.00000    6695.00000       1.5000   12040.00000   12733.00000
  23   12 35Mg     16152.00000    7342.00000       3.5000   11927.00000   12736.00000
  22   13 35Al      -130.19000    7784.45117       2.5000   11773.00000   12712.00000
  21   14 35Si    -14360.30664    8168.67285       3.5000   11744.00000   12817.00000
  20   15 35P     -24857.74023    8446.24707       0.5000   11717.00000   12923.00000
  19   16 35S     -28846.35547    8537.85547       1.5000   11465.00000   12823.00000
  18   17 35Cl    -29013.53906    8520.27832       1.5000   11415.00000   12937.00000
  17   18 35Ar    -23047.41016    8327.46484       1.5000   11267.00000   12941.00000
  16   19 35K     -11168.90039    7965.72607       1.5000   11040.00000   12880.00000
  15   20 35Ca      4602.00000    7493.00000       0.5000   10775.00000   12787.00000
  24   12 36Mg     21424.00000    7215.00000       0.0000   12016.00000   12801.00000
  22   14 36Si    -12482.50684    8113.80713       0.0000   11927.00000   12835.00000
  21   15 36P     -20250.97656    8307.86621       4.0000   11786.00000   12825.00000
  20   16 36S     -30664.07422    8575.38672       0.0000   11758.00000   12934.00000
  19   17 36Cl    -29521.85742    8521.92676       2.0000   11542.00000   12861.00000
  18   18 36Ar    -30231.53906    8519.90918       0.0000   11467.00000   12937.00000
  17   19 36K     -17426.17188    8142.47217       2.0000   11326.00000   12950.00000
  16   20 36Ca     -6439.35889    7815.55078       0.0000   11021.00000   12809.00000
  26   11 37Na     55275.00000    6345.00000       1.5000   10912.00000   12879.00000
  25   12 37Mg     29249.00000    7027.00000       3.5000   12127.00000   12776.00000
  24   13 37Al      9946.32617    7527.61914       1.5000   11955.00000   12716.00000
  23   14 37Si     -6579.99805    7953.13184       3.5000   11952.00000   12836.00000
  22   15 37P     -18994.14453    8267.50488       0.5000   11947.00000   12959.00000
  21   16 37S     -26896.35938    8459.93359       3.5000   11892.00000   13034.00000
  20   17 37Cl    -31761.53125    8570.28027       1.5000   11555.00000   12832.00000
  19   18 37Ar    -30947.65820    8527.13867       1.5000   11452.00000   12877.00000
  18   19 37K     -24800.19922    8339.84668       1.5000   11261.00000   12836.00000
  17   20 37Ca    -13161.75977    8004.14990       1.5000   11335.00000   13075.00000
  16   21 37Sc      2841.00000    7550.00000       3.5000   10908.00000   12826.00000
  26   12 38Mg     34996.00000    6903.00000       0.0000   10795.00000   12881.00000
  24   14 38Si     -4067.27393    7890.11816       0.0000   11946.00000   12684.00000
  22   16 38S     -26861.19727    8448.78223       0.0000   11980.00000   12965.00000
  21   17 38Cl    -29798.09766    8505.48047       2.0000   11813.00000   13056.00000
  20   18 38Ar    -34714.55078    8614.27344       0.0000   11540.00000   12926.00000
  19   19 38K     -28800.69141    8438.05664       3.0000   11416.00000   12952.00000
  18   20 38Ca    -22059.22070    8240.06152       0.0000   11226.00000   12921.00000
  17   21 38Sc     -4937.00000    7769.00000       2.0000   11170.00000   13036.00000
  16   22 38Ti      9101.00000    7379.00000       0.0000   10874.00000   12903.00000
  27   12 39Mg     43568.00000    6713.00000       3.5000   10585.00000   12781.00000
  26   13 39Al     21396.41797    7261.90918       1.5000   11939.00000   12659.00000
  25   14 39Si      1928.20496    7741.03418       3.5000   11883.00000   12716.00000
  24   15 39P     -12873.73535    8100.50977       0.5000   12030.00000   12986.00000
  23   16 39S     -23162.24414    8344.25781       1.5000   11930.00000   13008.00000
  22   17 39Cl    -29800.20312    8494.40234       1.5000   12051.00000   13262.00000
  21   18 39Ar    -33242.01172    8562.59277       3.5000   11787.00000   13138.00000
  20   19 39K     -33807.01172    8557.01953       1.5000   11573.00000   13071.00000
  19   20 39Ca    -27274.40039    8369.45703       1.5000   11443.00000   13093.00000
  18   21 39Sc    -14168.02148    8013.33594       3.5000   11254.00000   13061.00000
  17   22 39Ti      1500.00000    7592.00000       1.5000   10972.00000   12951.00000
  28   12 40Mg     50235.00000    6581.00000       0.0000   10500.00000   14000.00000
  26   14 40Si      5467.05176    7660.81885       0.0000   10500.00000   14000.00000
  25   15 40P      -8106.83789    7980.60791       2.0000   10500.00000   14000.00000
  24   16 40S     -22866.56836    8330.04297       0.0000   10500.00000   14000.00000
  23   17 40Cl    -27557.81055    8427.76465       2.0000   10500.00000   14000.00000
  22   18 40Ar    -35039.89453    8595.25879       0.0000   10500.00000   14000.00000
  21   19 40K     -33535.20312    8538.08301       4.0000   10500.00000   14000.00000
  20   20 40Ca    -34846.27344    8551.30078       0.0000   10500.00000   14000.00000
  19   21 40Sc    -20523.22852    8173.66602       4.0000   10500.00000   14000.00000
  18   22 40Ti     -8850.27539    7862.28320       0.0000   10500.00000   14000.00000
  17   23 40V      10330.00000    7363.00000       2.0000   10500.00000   14000.00000
  28   13 41Al     35704.00000    6952.00000       1.5000   10500.00000   14000.00000
  27   14 41Si     13562.55273    7473.37988       3.5000   10500.00000   14000.00000
  26   15 41P      -5276.50781    7913.78809       0.5000   10500.00000   14000.00000
  25   16 41S     -19019.10547    8229.89160       3.5000   10500.00000   14000.00000
  24   17 41Cl    -27307.18945    8412.95801       0.5000   10500.00000   14000.00000
  23   18 41Ar    -33067.46875    8534.37109       3.5000   10500.00000   14000.00000
  22   19 41K     -35559.07422    8576.06055       1.5000   10500.00000   14000.00000
  21   20 41Ca    -35137.75781    8546.70312       3.5000   10500.00000   14000.00000
  20   21 41Sc    -28642.39258    8369.19824       3.5000   10500.00000   14000.00000
  19   22 41Ti    -15700.00000    8034.00000       1.5000   10500.00000   14000.00000
  18   23 41V       -205.00000    7637.00000       3.5000   10500.00000   14000.00000
  28   14 42Si     18434.00000    7372.00000       0.0000   10500.00000   14000.00000
  26   16 42S     -17677.50391    8194.17285       0.0000   10500.00000   14000.00000
  24   18 42Ar    -34422.67578    8555.61328       0.0000   10500.00000   14000.00000
  23   19 42K     -35021.55469    8551.24512       2.0000   10500.00000   14000.00000
  22   20 42Ca    -38547.07031    8616.55859       0.0000   10500.00000   14000.00000
  21   21 42Sc    -32121.23828    8444.93457       0.0000   10500.00000   14000.00000
  20   22 42Ti    -25121.55273    8259.64941       0.0000   10500.00000   14000.00000
  19   23 42V      -8169.00000    7837.00000       2.0000   10500.00000   14000.00000
  18   24 42Cr      5990.00000    7482.00000       0.0000   10500.00000   14000.00000
  29   14 43Si     26697.00000    7196.00000       1.5000   10500.00000   14000.00000
  28   15 43P       5765.94824    7664.31396       0.5000   10500.00000   14000.00000
  27   16 43S     -11965.23535    8058.47314       1.5000   10500.00000   14000.00000
  26   17 43Cl    -24168.16797    8324.06836       1.5000   10500.00000   14000.00000
  25   18 43Ar    -32009.80859    8488.23730       2.5000   10500.00000   14000.00000
  24   19 43K     -36593.23828    8576.63477       1.5000   10500.00000   14000.00000
  23   20 43Ca    -38408.64062    8600.65918       3.5000   10500.00000   14000.00000
  22   21 43Sc    -36187.92969    8530.82129       3.5000   10500.00000   14000.00000
